case_name,case_label,polarization,wavelength_um,reflectance,transmittance,absorptance,emissivity_proxy,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,resolution,pml_thickness_um,air_buffer_um,substrate_thickness_um,decay_db,config_label,walltime_s,normalization_note,scan_name,varied_parameter,parameter_value,highest_accuracy_parameter_value,mean_A_8_13um,peak_A_8_13um,peak_wavelength_um,max_abs_difference_from_highest_accuracy_case,max_abs_difference_from_fresnel_flat_Ti,pass_or_fail
flat_Ti,Flat Ti,Ez,8.0,0.9134913282392285,-3.653157962880685e-16,0.08650867176077184,0.08650867176077184,-0.02144164903539864,0.019586760456985677,7.83297309109595e-18,3.653157962880685e-16,-3.653157962880685e-16,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
flat_Ti,Flat Ti,Ez,9.904761904761905,0.9277370983165768,-1.2845576416259353e-16,0.07226290168342332,0.07226290168342332,-270.41081454422283,250.87014443867926,3.47358278201075e-14,1.2845576416259353e-16,-1.2845576416259353e-16,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
flat_Ti,Flat Ti,Ez,13.0,0.938179138168236,-1.1597160868903136e-17,0.061820861831764065,0.061820861831764065,-0.008119849035690874,0.007617872970360646,9.416719549811506e-20,1.1597160868903136e-17,-1.1597160868903136e-17,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,8.0,0.8427416117333899,-0.0007612470939782951,0.15801963536058838,0.15801963536058838,-0.02144164903539864,0.018069769866313534,1.632239301829973e-05,0.0007612470939782951,-0.0007612470939782951,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,9.904761904761905,0.8891769787552254,-7.91052820770067e-06,0.11083093177298231,0.11083093177298231,-270.41081454422283,240.44307109917162,0.002139092376119389,7.91052820770067e-06,-7.91052820770067e-06,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,13.0,0.9526876805363349,0.0013494820296681975,0.0459628374339969,0.0459628374339969,-0.008119849035690874,0.007735680144117535,-1.0957590357283477e-05,-0.0013494820296681975,0.0013494820296681975,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,8.0,0.7960348831099823,0.003411449083813556,0.20055366780620418,0.20055366780620418,-0.02143843821121025,0.01706574465552133,-7.313614039402674e-05,-0.003411449083813556,0.003411449083813556,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,9.904761904761905,0.8900061786107042,-0.0005322305824053773,0.11052605197170119,0.11052605197170119,-270.3842276270368,240.64363318694583,0.1439067549431659,0.0005322305824053773,-0.0005322305824053773,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,13.0,0.9191292537987591,-0.037203802758716556,0.11807454895995746,0.11807454895995746,-0.008119417589243734,0.007462794230082113,0.00030207321050587774,0.037203802758716556,-0.037203802758716556,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,air_buffer,air_buffer_um,8.0,8.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
flat_Ti,Flat Ti,Ez,8.0,0.9134913282392285,-3.653157962880685e-16,0.08650867176077184,0.08650867176077184,-0.02144164903539864,0.019586760456985677,7.83297309109595e-18,3.653157962880685e-16,-3.653157962880685e-16,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
flat_Ti,Flat Ti,Ez,9.904761904761905,0.9277370983165768,-1.2845576416259353e-16,0.07226290168342332,0.07226290168342332,-270.41081454422283,250.87014443867926,3.47358278201075e-14,1.2845576416259353e-16,-1.2845576416259353e-16,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
flat_Ti,Flat Ti,Ez,13.0,0.938179138168236,-1.1597160868903136e-17,0.061820861831764065,0.061820861831764065,-0.008119849035690874,0.007617872970360646,9.416719549811506e-20,1.1597160868903136e-17,-1.1597160868903136e-17,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,8.0,0.8427416117333899,-0.0007612470939782951,0.15801963536058838,0.15801963536058838,-0.02144164903539864,0.018069769866313534,1.632239301829973e-05,0.0007612470939782951,-0.0007612470939782951,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,9.904761904761905,0.8891769787552254,-7.91052820770067e-06,0.11083093177298231,0.11083093177298231,-270.41081454422283,240.44307109917162,0.002139092376119389,7.91052820770067e-06,-7.91052820770067e-06,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,13.0,0.9526876805363349,0.0013494820296681975,0.0459628374339969,0.0459628374339969,-0.008119849035690874,0.007735680144117535,-1.0957590357283477e-05,-0.0013494820296681975,0.0013494820296681975,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,8.0,0.7960348831099823,0.003411449083813556,0.20055366780620418,0.20055366780620418,-0.02143843821121025,0.01706574465552133,-7.313614039402674e-05,-0.003411449083813556,0.003411449083813556,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,9.904761904761905,0.8900061786107042,-0.0005322305824053773,0.11052605197170119,0.11052605197170119,-270.3842276270368,240.64363318694583,0.1439067549431659,0.0005322305824053773,-0.0005322305824053773,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,13.0,0.9191292537987591,-0.037203802758716556,0.11807454895995746,0.11807454895995746,-0.008119417589243734,0.007462794230082113,0.00030207321050587774,0.037203802758716556,-0.037203802758716556,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,substrate,substrate_thickness_um,4.0,4.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
flat_Ti,Flat Ti,Ez,8.0,0.9134913282392285,-3.653157962880685e-16,0.08650867176077184,0.08650867176077184,-0.02144164903539864,0.019586760456985677,7.83297309109595e-18,3.653157962880685e-16,-3.653157962880685e-16,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
flat_Ti,Flat Ti,Ez,9.904761904761905,0.9277370983165768,-1.2845576416259353e-16,0.07226290168342332,0.07226290168342332,-270.41081454422283,250.87014443867926,3.47358278201075e-14,1.2845576416259353e-16,-1.2845576416259353e-16,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
flat_Ti,Flat Ti,Ez,13.0,0.938179138168236,-1.1597160868903136e-17,0.061820861831764065,0.061820861831764065,-0.008119849035690874,0.007617872970360646,9.416719549811506e-20,1.1597160868903136e-17,-1.1597160868903136e-17,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",14.065379858016968,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.07353081175865307,0.08650867176077184,8.0,0.0,0.0016550373438695976,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,8.0,0.8427416117333899,-0.0007612470939782951,0.15801963536058838,0.15801963536058838,-0.02144164903539864,0.018069769866313534,1.632239301829973e-05,0.0007612470939782951,-0.0007612470939782951,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,9.904761904761905,0.8891769787552254,-7.91052820770067e-06,0.11083093177298231,0.11083093177298231,-270.41081454422283,240.44307109917162,0.002139092376119389,7.91052820770067e-06,-7.91052820770067e-06,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Ez,Slanted tilt=20 Ez,Ez,13.0,0.9526876805363349,0.0013494820296681975,0.0459628374339969,0.0459628374339969,-0.008119849035690874,0.007735680144117535,-1.0957590357283477e-05,-0.0013494820296681975,0.0013494820296681975,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",27.18001890182495,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.10493780152252252,0.15801963536058838,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,8.0,0.7960348831099823,0.003411449083813556,0.20055366780620418,0.20055366780620418,-0.02143843821121025,0.01706574465552133,-7.313614039402674e-05,-0.003411449083813556,0.003411449083813556,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,9.904761904761905,0.8900061786107042,-0.0005322305824053773,0.11052605197170119,0.11052605197170119,-270.3842276270368,240.64363318694583,0.1439067549431659,0.0005322305824053773,-0.0005322305824053773,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
slanted_Hz,Slanted tilt=20 Hz,Hz,13.0,0.9191292537987591,-0.037203802758716556,0.11807454895995746,0.11807454895995746,-0.008119417589243734,0.007462794230082113,0.00030207321050587774,0.037203802758716556,-0.037203802758716556,32,2.0,8.0,4.0,40.0,"res=32,pml=2,air=8,sub=4,decay=40",201.22459483146667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,decay,decay_db,40.0,40.0,0.14305142291262093,0.20055366780620418,8.0,0.0,,PASS
